id,date,price,sqft_living,yr_built,floor
0,201805,"291,000",127.78,1984,8
1,201805,"       103,500",117.49,2004,1
2,201805,"       240,000",121.74,2005,2
3,201805,"       224,000",128.03,1983,11
4,201805,"       228,500",128.01,1983,1
5,201805,"       207,000",115.05,1985,1
6,201805,"       205,000",115.05,1985,1
7,201805,"       138,000",130.545,1999,11
8,201805,"       258,000",134.9023,2006,17
9,201805,"       194,000",106.78,2016,4
10,201805,"       149,000",124.1,1995,3
11,201805,"        93,000",120.21,1996,19
12,201805,"       167,000",103.43,1998,8
13,201805,"       235,000",113.31,2013,2
14,201805,"       114,000",114.69,2011,7
15,201805,"       249,500",108.47,1983,4
16,201805,"       150,000",116.67,2007,9
17,201805,"        68,500",116.82,2007,1
18,201805,"        72,000",127.7,2004,2
19,201805,"        85,000",125.11,2005,3
20,201806,"       162,000",134.3,2004,8
21,201806,"       234,000",119.58,2008,11
22,201806,"       189,500",115.59,1984,10
23,201806,"       179,000",114.59,1999,24
24,201806,"       190,000",121.0894,2008,13
25,201806,"       217,000",128.01,1983,1
26,201806,"       245,000",128.01,1983,12
27,201806,"       243,000",128.01,1983,6
28,201806,"       209,000",115.05,1985,14
29,201806,"        96,700",102.43,2004,4
30,201806,"       146,500",114.96,2005,12
31,201806,"       172,000",130.259,2007,16
32,201806,"       195,000",126.46,1985,2
33,201806,"       215,000",126.46,1985,7
34,201806,"       158,000",110.453,2000,6
35,201806,"       137,000",107.75,2004,2
36,201806,"       225,500",108.88,1982,9
37,201806,"       177,500",120.37,2010,8
38,201806,"        89,000",114.01,2004,2
39,201806,"       193,000",130.143,2006,10
40,201806,"       183,000",134.71,1993,8
41,201806,"       200,000",110.2,1992,12
42,201807,"       160,000",104.43,1984,11
43,201807,"       160,000",133.46,1984,5
44,201807,"       132,000",128.62,1984,2
45,201807,"       133,000",114.498,2003,11
46,201807,"       134,000",114.34,1997,2
47,201807,"       190,000",108.52,2000,1
48,201807,"       228,000",119.58,2008,16
49,201807,"       213,000",114.97,2008,19
50,201807,"       255,000",121.74,2005,7
51,201807,"       145,000",107.91,2002,1
52,201807,"       230,000",128.01,1983,4
53,201807,"       238,500",128.01,1983,7
54,201807,"       190,000",115.05,1985,6
55,201807,"       225,000",126.33,1985,3
56,201807,"        85,000",106.67,2004,2
57,201807,"       169,000",130.259,2007,21
58,201807,"       206,000",119.8906,2006,11
59,201807,"       233,000",134.9023,2006,10
60,201807,"       243,000",134.9023,2006,15
61,201807,"       217,500",114.9931,2006,4
62,201807,"       225,000",134.9023,2006,6
63,201807,"       200,000",119.8906,2006,10
64,201807,"       250,000",134.9023,2006,19
65,201807,"       193,000",122.81,2001,6
66,201807,"       204,500",126.46,1985,1
67,201807,"       171,000",124.641,2004,26
68,201807,"       203,000",122.485,2007,11
69,201807,"       215,000",114.463,2008,10
70,201807,"       199,000",108.06,1981,2
71,201807,"       152,000",114.45,2014,10
72,201807,"       137,000",129.45,1993,13
73,201807,"       217,000",110.82,1982,3
74,201807,"       230,000",109.24,1982,5
75,201807,"       220,000",106.71,1980,9
76,201807,"       220,000",106.71,1980,9
77,201807,"       231,500",108.47,1983,9
78,201807,"       240,000",105.45,1983,4
79,201807,"       119,500",132.88,2003,9
80,201807,"       139,000",107.6,1984,11
